Zipcode,Population
11368,108661
11385,105025
11211,104561
11208,102626
10467,100867
11236,98821
11373,96495
11226,96332
10025,92162
11207,90867
11220,90657
10456,90479
10314,89938
11219,87812
11206,87599
11230,87188
10458,85893
11221,85582
11377,82021
11229,81909
11355,81358
11223,80500
11233,79796
10453,78858
10468,78778
11203,77589
11235,76921
11204,75840
10462,75441
10457,74679
10029,74617
10466,74519
10452,74379
10002,74363
11212,74037
11218,73280
11375,72615
10469,72550
10463,70236
11215,69995
11691,68454
11209,68368
10472,67989
11706,67484
11213,67382
11746,66518
11201,64798
10027,64728
10977,64677
11432,64282
14850,64224
11372,63107
11717,62888
11434,62590
11210,62423
10023,62228
10701,61367
10312,61114
10024,60714
10031,60280
10473,59627
11216,59567
10032,59527
11435,59392
10033,58648
10009,58267
10128,57993
10460,57514
11550,57073
11225,56072
11238,55102
10003,54671
12550,54503
10306,54318
14221,53727
14580,53593
12180,53181
11758,53034
10950,53013
10016,52912
11354,52351
10461,51081
10011,50228
14094,49792
10940,49430
10451,49423
10459,48391
10028,47962
11419,47955
11205,47866
11590,47468
11420,47266
11237,46772
11772,46311
11224,45587
10019,45521
10040,45197
10465,45066
11003,44712
11757,44130
11228,43878
10475,43791
14120,43738
11365,43730
11520,43451
10952,43374
11374,43173
10305,42968
14075,42958
11756,42856
11743,42636
14450,42513
11217,42461
12065,42432
10021,42253
12603,42140
10304,42133
13760,42103
10034,41933
11580,41930
11413,41810
11040,41523
13440,41342
14215,41340
14150,41144
10583,41087
12601,41037
14224,40903
10801,40445
10455,40300
11801,40179
11367,40141
11357,40118
14609,40081
11704,39960
10705,39848
11421,39654
14701,39214
11378,39033
10026,38937
10573,38749
12866,38732
11779,38091
10301,38001
11554,37992
11412,37987
14624,37873
10454,37807
11231,37796
11379,37780
11561,37759
11418,37666
13021,37528
11105,37452
13501,37132
11106,37094
10035,36999
13601,36982
11433,36929
11222,36710
11358,36665
10550,36382
11364,35866
11710,35473
11103,35419
13126,35369
12590,34823
12401,34800
10010,34763
14612,34316
11722,34139
11510,33949
13027,33937
10309,33896
11787,33837
14621,33757
11566,33626
14225,33360
11735,33299
12020,33235
12901,33048
11422,32786
14086,32653
11101,32537
13502,32437
14534,31975
10562,31847
